% Model,complexified.mph
% Version,COMSOL 5.0.0.243
% Date,"Jul 19 2017, 17:17"
% Table,Probes {tbl3} - 
% l,col_w,"-QV (1), Normalized Hydrodinamic Conductance {pev1}","Ty*si_k (1/m), Normalized Fourier Conductance {pev2}"
5.0E-8,1.0E-7,7.436553161425732E7,2.619525344794148E8
5.0E-8,1.3335214321633238E-7,9.969973361958179E7,2.4310947230492356E8
5.0E-8,1.7782794100389227E-7,1.2082555387948401E8,2.2318820753563443E8
5.0E-8,2.3713737056616548E-7,1.3321792137571557E8,2.0268803640798154E8
5.0E-8,3.162277660168379E-7,1.3615864919330105E8,1.8217132795314708E8
5.0E-8,4.216965034285822E-7,1.3182874185599756E8,1.6219358594295958E8
5.0E-8,5.623413251903491E-7,1.2309872617202888E8,1.4324671101579362E8
5.0E-8,7.498942093324558E-7,1.1220894255837908E8,1.2574426538750917E8
5.0E-8,1.0E-6,1.007307825814394E8,1.0996894964555356E8
1.0E-7,1.0E-7,2.4863725826785203E7,2.6195253447947508E8
1.0E-7,1.3335214321633238E-7,3.903099123627793E7,2.4310947230505455E8
1.0E-7,1.7782794100389227E-7,5.719824141318568E7,2.2318820753570643E8
1.0E-7,2.3713737056616548E-7,7.656858187779404E7,2.0268803640799883E8
1.0E-7,3.162277660168379E-7,9.251610968364327E7,1.8217132795315567E8
1.0E-7,4.216965034285822E-7,1.0143958728013238E8,1.621935859429781E8
1.0E-7,5.623413251903491E-7,1.0293548558230114E8,1.432467110157979E8
1.0E-7,7.498942093324558E-7,9.891224561531119E7,1.2574426538751213E8
1.0E-7,1.0E-6,9.181933860903004E7,1.0996894964557761E8
2.0E-7,1.0E-7,6800114.006954605,2.6195253447970805E8
2.0E-7,1.3335214321633238E-7,1.1408655040323108E7,2.431094723051514E8
2.0E-7,1.7782794100389227E-7,1.8563446559600998E7,2.2318820753577083E8
2.0E-7,2.3713737056616548E-7,2.8828034532665145E7,2.0268803640808752E8
2.0E-7,3.162277660168379E-7,4.1839479845097266E7,1.8217132795321018E8
2.0E-7,4.216965034285822E-7,5.559632865412619E7,1.621935859430058E8
2.0E-7,5.623413251903491E-7,6.691348562983266E7,1.4324671101583E8
2.0E-7,7.498942093324558E-7,7.325856891499244E7,1.257442653875338E8
2.0E-7,1.0E-6,7.436220213521378E7,1.099689496455983E8
