% Model,complexified.mph
% Version,COMSOL 5.0.0.243
% Date,"Jul 19 2017, 18:06"
% Table,Probes {tbl3} - 
% l,col_w,"-QV (1), Normalized Hydrodinamic Conductance {pev1}","Ty*si_k (1/m), Normalized Fourier Conductance {pev2}"
5.0E-8,1.0E-7,7.436553193583263E7+3282.6656849787755i,2.6195253447932452E8
5.0E-8,1.3335214321633238E-7,9.969973433269735E7+4523.381944549036i,2.4310947230494377E8
5.0E-8,1.7782794100389227E-7,1.2082555520550285E8+6490.55426745063i,2.2318820753562543E8
5.0E-8,2.3713737056616548E-7,1.332179234251391E8+8949.020777974949i,2.0268803640799132E8
5.0E-8,3.162277660168379E-7,1.3615865191113082E8+11464.374027922238i,1.8217132795313972E8
5.0E-8,4.216965034285822E-7,1.3182874507825123E8+13701.514533948808i,1.621935859429808E8
5.0E-8,5.623413251903491E-7,1.2309872970585184E8+15525.361073975633i,1.4324671101577607E8
5.0E-8,7.498942093324558E-7,1.1220894622332112E8+16918.95755000189i,1.2574426538749994E8
5.0E-8,1.0E-6,1.0073078622987738E8+17928.518539098637i,1.0996894964556159E8
1.0E-7,1.0E-7,2.4863725924421918E7+2505.4708096628656i,2.6195253447951862E8
1.0E-7,1.3335214321633238E-7,3.9030991405571714E7+2840.6695822917195i,2.4310947230505124E8
1.0E-7,1.7782794100389227E-7,5.7198241790888414E7+3577.7153436728463i,2.2318820753569108E8
1.0E-7,2.3713737056616548E-7,7.656858268426415E7+4995.444146601608i,2.0268803640802068E8
1.0E-7,3.162277660168379E-7,9.251611113798197E7+7183.507939797626i,1.8217132795316947E8
1.0E-7,4.216965034285822E-7,1.014395894533893E8+9821.688787246167i,1.6219358594298235E8
1.0E-7,5.623413251903491E-7,1.0293548835927841E8+12390.827968565354i,1.4324671101580745E8
1.0E-7,7.498942093324558E-7,9.89122487829758E7+14538.24949542623i,1.2574426538750269E8
1.0E-7,1.0E-6,9.181934195531961E7+16174.429546231582i,1.0996894964558528E8
2.0E-7,1.0E-7,6800114.212744805+2378.8532434405633i,2.6195253447958022E8
2.0E-7,1.3335214321633238E-7,1.1408655199465537E7+2493.3440289761734i,2.4310947230513105E8
2.0E-7,1.7782794100389227E-7,1.8563446720721547E7+2701.0710562921277i,2.2318820753575212E8
2.0E-7,2.3713737056616548E-7,2.8828034773088615E7+3115.566760306633i,2.026880364080603E8
2.0E-7,3.162277660168379E-7,4.183948031069777E7+3953.5107419943033i,1.8217132795319846E8
2.0E-7,4.216965034285822E-7,5.559632956512248E7+5473.841064692894i,1.621935859430041E8
2.0E-7,5.623413251903491E-7,6.691348718391449E7+7728.4646970125505i,1.4324671101583195E8
2.0E-7,7.498942093324558E-7,7.325857114580093E7+10372.385360808916i,1.2574426538753106E8
2.0E-7,1.0E-6,7.43622048922399E7+12878.499361859022i,1.0996894964560379E8
