% Model,no_longer_minion.mph
% Version,COMSOL 5.0.0.243
% Date,"Jul 27 2017, 14:52"
% Table,Probes 1 {tbl1} - 
% l,si_k,TBath,heater_w,sensor_w,"Dependent variable U (1), Effect Ratio {pev1}","Dependent variable T (1), Normal_Temp {pev2}"
3.4300000000000004E-7,386,150,1.0E-7,1.0E-7,-0.0082914042756279,0.5827452104503288
3.4300000000000004E-7,386,150,1.0E-7,1.5E-7,-0.005043176117570208,0.569123120036012
3.4300000000000004E-7,386,150,1.0E-7,2.0E-7,-0.002860536131257924,0.5570209698907728
3.4300000000000004E-7,386,150,1.0E-7,2.5E-7,-0.001343710161955089,0.5460711912016699
3.4300000000000004E-7,386,150,1.0E-7,3.0E-7,-2.586751204584094E-4,0.5360229704678671
3.4300000000000004E-7,386,150,1.25E-7,1.0E-7,-0.01167642750145489,0.6239108776584105
3.4300000000000004E-7,386,150,1.25E-7,1.5E-7,-0.006673172734049408,0.6101964295839806
3.4300000000000004E-7,386,150,1.25E-7,2.0E-7,-0.0032858244456021425,0.5979637097398885
3.4300000000000004E-7,386,150,1.25E-7,2.5E-7,-9.224157469900937E-4,0.5868494165866115
3.4300000000000004E-7,386,150,1.25E-7,3.0E-7,7.731358250021651E-4,0.5766210118679223
3.4300000000000004E-7,386,150,1.5E-7,1.0E-7,-0.01440760347217226,0.6558439952919934
3.4300000000000004E-7,386,150,1.5E-7,1.5E-7,-0.007496637660431219,0.6421751141562474
3.4300000000000004E-7,386,150,1.5E-7,2.0E-7,-0.00279673183200469,0.6299253662691192
3.4300000000000004E-7,386,150,1.5E-7,2.5E-7,4.953450807167969E-4,0.6187628029445021
3.4300000000000004E-7,386,150,1.5E-7,3.0E-7,0.002861539245291644,0.6084613876258052
3.4300000000000004E-7,386,150,1.75E-7,1.0E-7,-0.016036209437101843,0.6815099367458622
3.4300000000000004E-7,386,150,1.75E-7,1.5E-7,-0.007173494872518325,0.6679503152841275
3.4300000000000004E-7,386,150,1.75E-7,2.0E-7,-0.0011207261204169195,0.6557552200959363
3.4300000000000004E-7,386,150,1.75E-7,2.5E-7,0.0031298953038472683,0.6446100095160097
3.4300000000000004E-7,386,150,1.75E-7,3.0E-7,0.006188592663461097,0.6342993150328119
3.4300000000000004E-7,386,150,2.0E-7,1.0E-7,-0.01625724002350207,0.7026905427489216
3.4300000000000004E-7,386,150,2.0E-7,1.5E-7,-0.005477396209697761,0.6892774630281013
3.4300000000000004E-7,386,150,2.0E-7,2.0E-7,0.0019094421439232367,0.6771756496129235
3.4300000000000004E-7,386,150,2.0E-7,2.5E-7,0.007106676657883119,0.6660866877950053
3.4300000000000004E-7,386,150,2.0E-7,3.0E-7,0.010848705841357094,0.655805194438213
3.4300000000000004E-7,386,150,2.25E-7,1.0E-7,-0.014894241004226842,0.7205303769778342
3.4300000000000004E-7,386,150,2.25E-7,1.5E-7,-0.002291359149527347,0.7072843550068566
3.4300000000000004E-7,386,150,2.25E-7,2.0E-7,0.006367048969653128,0.6952945523559962
3.4300000000000004E-7,386,150,2.25E-7,2.5E-7,0.012467749064547014,0.6842894560609645
3.4300000000000004E-7,386,150,2.25E-7,3.0E-7,0.016860305208070404,0.6740614542357469
3.4300000000000004E-7,386,150,2.5E-7,1.0E-7,-0.01188081047442763,0.7358022127000662
3.4300000000000004E-7,386,150,2.5E-7,1.5E-7,0.0024108371504710587,0.7227338643293045
3.4300000000000004E-7,386,150,2.5E-7,2.0E-7,0.012250344052915526,0.7108772198325974
3.4300000000000004E-7,386,150,2.5E-7,2.5E-7,0.019187802507947185,0.699962910841484
3.4300000000000004E-7,386,150,2.5E-7,3.0E-7,0.02418148808966635,0.6898039897355399
3.4300000000000004E-7,386,150,2.75E-7,1.0E-7,-0.00723566008199576,0.7490500757866932
3.4300000000000004E-7,386,150,2.75E-7,1.5E-7,0.00858443756238928,0.7361614430325615
3.4300000000000004E-7,386,150,2.75E-7,2.0E-7,0.01949521669222345,0.7244443285579726
3.4300000000000004E-7,386,150,2.75E-7,2.5E-7,0.027190141889178246,0.7136337688637377
3.4300000000000004E-7,386,150,2.75E-7,3.0E-7,0.032725102992474005,0.7035539142820634
3.4300000000000004E-7,386,150,3.0E-7,1.0E-7,-0.0010407710695781174,0.7606698169387177
3.4300000000000004E-7,386,150,3.0E-7,1.5E-7,0.016137993268434042,0.7479676329777746
3.4300000000000004E-7,386,150,3.0E-7,2.0E-7,0.027997303847768443,0.7363881885625676
3.4300000000000004E-7,386,150,3.0E-7,2.5E-7,0.036362272235190805,0.725686730910173
3.4300000000000004E-7,386,150,3.0E-7,3.0E-7,0.04237283088143893,0.7156923497004081
