sensor_w	heater_w	l	hydro	fourier
1.0000E-7	1.0000E-7	1.0000E-7	0.084975	0.58275
1.0000E-7	1.0000E-7	1.5000E-7	0.033706	0.58275
1.0000E-7	1.0000E-7	2.0000E-7	0.012210	0.58275
1.0000E-7	1.0000E-7	2.5000E-7	0.0013571	0.58275
1.0000E-7	1.0000E-7	3.0000E-7	-0.0048577	0.58275
1.0000E-7	1.0000E-7	3.5000E-7	-0.0087453	0.58275
1.0000E-7	1.0000E-7	4.0000E-7	-0.011340	0.58275
1.0000E-7	1.5000E-7	1.0000E-7	0.19167	0.65584
1.0000E-7	1.5000E-7	1.5000E-7	0.089810	0.65584
1.0000E-7	1.5000E-7	2.0000E-7	0.039222	0.65584
1.0000E-7	1.5000E-7	2.5000E-7	0.011539	0.65584
1.0000E-7	1.5000E-7	3.0000E-7	-0.0050220	0.65584
1.0000E-7	1.5000E-7	3.5000E-7	-0.015656	0.65584
1.0000E-7	1.5000E-7	4.0000E-7	-0.022874	0.65584
1.0000E-7	2.0000E-7	1.0000E-7	0.29789	0.70269
1.0000E-7	2.0000E-7	1.5000E-7	0.16137	0.70269
1.0000E-7	2.0000E-7	2.0000E-7	0.080839	0.70269
1.0000E-7	2.0000E-7	2.5000E-7	0.032369	0.70269
1.0000E-7	2.0000E-7	3.0000E-7	0.0017112	0.70269
1.0000E-7	2.0000E-7	3.5000E-7	-0.018675	0.70269
1.0000E-7	2.0000E-7	4.0000E-7	-0.032837	0.70269
1.0000E-7	2.5000E-7	1.0000E-7	0.38713	0.73580
1.0000E-7	2.5000E-7	1.5000E-7	0.23535	0.73580
1.0000E-7	2.5000E-7	2.0000E-7	0.13140	0.73580
1.0000E-7	2.5000E-7	2.5000E-7	0.062564	0.73580
1.0000E-7	2.5000E-7	3.0000E-7	0.016297	0.73580
1.0000E-7	2.5000E-7	3.5000E-7	-0.015729	0.73580
1.0000E-7	2.5000E-7	4.0000E-7	-0.038598	0.73580
1.0000E-7	3.0000E-7	1.0000E-7	0.45788	0.76067
1.0000E-7	3.0000E-7	1.5000E-7	0.30399	0.76067
1.0000E-7	3.0000E-7	2.0000E-7	0.18508	0.76067
1.0000E-7	3.0000E-7	2.5000E-7	0.099178	0.76067
1.0000E-7	3.0000E-7	3.0000E-7	0.037841	0.76067
1.0000E-7	3.0000E-7	3.5000E-7	-0.0064398	0.76067
1.0000E-7	3.0000E-7	4.0000E-7	-0.039021	0.76067
1.0000E-7	3.5000E-7	1.0000E-7	0.51343	0.78014
1.0000E-7	3.5000E-7	1.5000E-7	0.36431	0.78014
1.0000E-7	3.5000E-7	2.0000E-7	0.23774	0.78014
1.0000E-7	3.5000E-7	2.5000E-7	0.13912	0.78014
