T,Ktot,ln,lt,lpol,kcin,kcol,sigma,cv
0.5,nan,nan,nan,nan,nan,nan,nan,0.123486592882
1.0,16191120.9987,4.04768164941e+11,2.01188294608e+13,5.16001691261e+14,47560618357.5,6237.3263952,0.999659699845,0.981786380238
1.5,1563857.01784,1.19977362836e+11,2.27235852026e+12,4.31010619605e+13,39131960592.4,4149.59978829,0.99996014236,3.30971452635
2.0,761556.149224,50573874964.2,7.71961933669e+11,8.61262593644e+12,18034073379.8,3111.41841205,0.999957943785,7.84097816892
2.5,688404.520585,25813939142.2,4.18259200227e+11,3.08716384786e+12,9766236204.03,2496.0118559,0.999929767346,15.308803548
3.0,782555.823832,14797474446.9,2.80120208265e+11,1.55569263391e+12,6498645933.49,2078.55678722,0.999879901517,26.4345314143
3.5,969063.703889,9133670117.88,2.09171200761e+11,9.47425499832e+11,4891966638.25,1758.57146028,0.999802266542,41.9236677019
4.0,1228354.41241,5933761953.73,1.65751921113e+11,6.44364153147e+11,3964974649.35,1497.97618293,0.999690576357,62.4879173103
4.5,1548971.16791,4010612138.9,1.35813380276e+11,4.69249324433e+11,3374523274.22,1284.81980056,0.999541361309,88.8804637692
5.0,1923119.35786,2802195610.68,1.13581496497e+11,3.5756963126e+11,2972301189.55,1112.56156224,0.999353360446,121.919667547
5.5,2350026.7154,2016457866.03,96513462553.3,2.81608920002e+11,2684058255.06,973.815361618,0.99912481268,162.492862686
6.0,2837581.33389,1501212319.22,83928389143.4,2.27723503281e+11,2469073025.38,860.246770107,0.998851098349,211.546586448
6.5,3401681.79697,1204862448.24,78190932337.9,1.88374024417e+11,2303483627.11,763.431099674,0.998523575574,270.07289372
7.0,4066067.74824,1161248452.6,87434709374.1,1.59026520001e+11,2172539965.14,675.671487199,0.998128737143,339.098856579
7.5,4864428.25893,1389178420.85,1.22052494713e+11,1.36804503409e+11,2066708119.3,591.169049602,0.997646576972,419.68308378
8.0,5844939.55894,1805329820.33,1.87179030394e+11,1.19817491776e+11,1979588631.21,507.425349985,0.997047652457,512.920845218
8.5,7075791.75955,2304102468.5,2.86033132436e+11,1.06776287562e+11,1906745410.03,425.752189197,0.996289296122,619.958018118
9.0,8645568.22316,2809097831.91,4.23539913543e+11,96731312401.4,1845017002.59,349.903587485,0.995314287106,742.013075948
9.5,10634991.3843,3274002467.95,6.0526463874e+11,88830629724.5,1792095571.91,283.576884011,0.994065768781,880.405448091
10.0,493697.435293,3926701.42026,173182948.846,600389278.955,2468385.88055,228.645539276,0.800065902304,1036.58780072
15.0,149282.557787,328820.068333,14189396.3277,23640108.1106,232426.666171,54.4980090464,0.357805795082,4043.55350887
