l	width	hydro	fourier
5.0000E-8	1.0000E-7	7.4366E7	2.6195E8
5.0000E-8	1.3335E-7	9.9700E7	2.4311E8
5.0000E-8	1.7783E-7	1.2083E8	2.2319E8
5.0000E-8	2.3714E-7	1.3322E8	2.0269E8
5.0000E-8	3.1623E-7	1.3616E8	1.8217E8
5.0000E-8	4.2170E-7	1.3183E8	1.6219E8
5.0000E-8	5.6234E-7	1.2310E8	1.4325E8
5.0000E-8	7.4989E-7	1.1221E8	1.2574E8
5.0000E-8	1.0000E-6	1.0073E8	1.0997E8
1.0000E-7	1.0000E-7	2.4864E7	2.6195E8
1.0000E-7	1.3335E-7	3.9031E7	2.4311E8
1.0000E-7	1.7783E-7	5.7198E7	2.2319E8
1.0000E-7	2.3714E-7	7.6569E7	2.0269E8
1.0000E-7	3.1623E-7	9.2516E7	1.8217E8
1.0000E-7	4.2170E-7	1.0144E8	1.6219E8
1.0000E-7	5.6234E-7	1.0294E8	1.4325E8
1.0000E-7	7.4989E-7	9.8912E7	1.2574E8
1.0000E-7	1.0000E-6	9.1819E7	1.0997E8
2.0000E-7	1.0000E-7	6.8001E6	2.6195E8
2.0000E-7	1.3335E-7	1.1409E7	2.4311E8
2.0000E-7	1.7783E-7	1.8563E7	2.2319E8
2.0000E-7	2.3714E-7	2.8828E7	2.0269E8
2.0000E-7	3.1623E-7	4.1839E7	1.8217E8
2.0000E-7	4.2170E-7	5.5596E7	1.6219E8
2.0000E-7	5.6234E-7	6.6913E7	1.4325E8
2.0000E-7	7.4989E-7	7.3259E7	1.2574E8
2.0000E-7	1.0000E-6	7.4362E7	1.0997E8
